,Movie ID,Budget,Revenue,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Release Date,Run Time
214,8273,55000000,231449203,Comedy,Romance,N/A,N/A,N/A,2003-08-01,103
215,670,3000000,15194593,Drama,Thriller,Mystery,Action,N/A,2003-11-21,120
216,310,80000000,484592874,Fantasy,Comedy,N/A,N/A,N/A,2003-05-23,101
217,296,200000000,435000000,Action,Thriller,Science Fiction,N/A,N/A,2003-07-02,109
218,10588,109000000,133800000,Comedy,Adventure,Family,Fantasy,N/A,2003-11-21,81
219,9373,9500000,107363905,Horror,N/A,N/A,N/A,N/A,2003-05-21,98
220,11351,17000000,63102666,Horror,N/A,N/A,N/A,N/A,2003-08-08,104
221,9471,120000000,259175788,Action,Adventure,Comedy,N/A,N/A,2003-06-27,106
222,604,150000000,738599701,Adventure,Action,Thriller,Science Fiction,N/A,2003-05-15,138
223,24,30000000,180906076,Action,Crime,N/A,N/A,N/A,2003-10-10,111
224,21683,0,0,Adventure,Fantasy,Animation,Action,Science Fiction,2003-10-21,74
225,1927,137000000,245360480,Science Fiction,Adventure,Action,N/A,N/A,2003-06-19,138
226,11635,24000000,87135520,Comedy,N/A,N/A,N/A,N/A,2003-02-21,88
227,13920,35000000,53293628,Drama,N/A,N/A,N/A,N/A,2003-10-24,109
228,8961,130000000,273339556,Adventure,Action,Comedy,Thriller,Crime,2003-07-18,147
229,9358,26000000,90941129,Horror,Mystery,N/A,N/A,N/A,2003-01-31,90
230,10330,26000000,160846332,Comedy,Family,Fantasy,N/A,N/A,2003-08-05,97
231,6466,30000000,116643421,Horror,N/A,N/A,N/A,N/A,2003-08-15,97
232,9316,1100000,20112926,Action,Thriller,Crime,Adventure,N/A,2003-01-21,105
233,1278,15000000,15121165,Drama,Romance,N/A,N/A,N/A,2003-09-01,115
234,605,150000000,424988211,Adventure,Action,Thriller,Science Fiction,N/A,2003-11-05,129
235,9257,80000000,116643346,Action,Thriller,Crime,N/A,N/A,2003-08-08,117
236,277,22000000,95708457,Fantasy,Action,Thriller,N/A,N/A,2003-09-19,122
237,12279,38000000,197011982,Action,Adventure,Comedy,Family,Science Fiction,2003-07-25,84
238,10601,100000000,121975011,Adventure,Fantasy,Family,N/A,N/A,2003-12-18,113
239,9567,75000000,86468162,War,Action,Drama,N/A,N/A,2003-03-07,121
240,616,140000000,456758981,Drama,Action,War,N/A,N/A,2003-12-05,154
241,10327,45000000,124914842,Comedy,Romance,N/A,N/A,N/A,2003-07-02,95
242,11423,2800000,26000000,Crime,Drama,Thriller,N/A,N/A,2003-05-02,131
243,11023,2000000,0,Drama,N/A,N/A,N/A,N/A,2003-08-20,100
244,9486,40000000,160583018,Adventure,Action,Comedy,N/A,N/A,2003-03-14,88
245,322,25000000,156822020,Thriller,Crime,Drama,Mystery,N/A,2003-03-03,138
246,1584,35000000,131095990,Comedy,Music,N/A,N/A,N/A,2003-10-03,110
247,9480,78000000,179179718,Fantasy,Action,N/A,N/A,N/A,2003-02-14,103
248,2289,79000000,173013509,Drama,War,History,Adventure,Romance,2003-12-24,154
249,9506,75000000,195745823,Comedy,N/A,N/A,N/A,N/A,2003-04-11,106
250,39202,0,0,Mystery,Animation,N/A,N/A,N/A,2003-04-19,110
251,504,8000000,60378584,Crime,Drama,N/A,N/A,N/A,2003-12-24,110
252,34295,0,0,Animation,Fantasy,Adventure,N/A,N/A,2003-12-20,99
253,44727,0,14817006,Action,Animation,Adventure,N/A,N/A,2003-03-01,95
254,14926,20000000,44617342,Family,Comedy,Drama,N/A,N/A,2003-08-15,92
255,9654,60000000,176070171,Action,Crime,N/A,N/A,N/A,2003-05-30,110
256,15567,0,0,Comedy,Adventure,Family,Animation,N/A,2003-08-26,60
257,10719,32000000,225097437,Comedy,Family,Fantasy,N/A,N/A,2003-10-09,97
258,55931,5000000,0,Animation,Science Fiction,N/A,N/A,N/A,2003-05-09,102
259,8965,0,0,Fantasy,Animation,Science Fiction,Family,Action,2003-02-25,80
260,10623,25000000,56489558,Action,Crime,Drama,N/A,N/A,2003-02-28,101
261,20222,0,0,Comedy,Romance,N/A,N/A,N/A,2003-03-27,108
262,1817,13000000,97837138,Thriller,N/A,N/A,N/A,N/A,2003-04-04,81
263,153,4000000,119723856,Drama,Romance,Comedy,N/A,N/A,2003-09-18,102
264,11817,52000000,37713879,Action,Comedy,Fantasy,N/A,N/A,2003-03-28,104
