,# 1st Billing,# 2nd Billing,# 3rd Billing,# 4th Billing,# 5th Billing,Total Movie Count
Teresa Palmer,1.0,2.0,2.0,2.0,1.0,8.0
Sigourney Weaver,1.0,2.0,2.0,1.0,2.0,8.0
Monica Bellucci,1.0,2.0,0.0,2.0,3.0,8.0
Charlotte Rampling,1.0,1.0,3.0,2.0,1.0,8.0
Christopher Plummer,1.0,1.0,3.0,2.0,1.0,8.0
Emily Mortimer,1.0,1.0,3.0,1.0,2.0,8.0
Laura Dern,1.0,1.0,2.0,2.0,2.0,8.0
Michelle Yeoh,1.0,1.0,2.0,2.0,2.0,8.0
Paul Dano,1.0,1.0,2.0,1.0,3.0,8.0
Jon Favreau,1.0,1.0,2.0,0.0,4.0,8.0
Thomas Haden Church,1.0,1.0,1.0,3.0,2.0,8.0
Rupert Grint,0.0,6.0,2.0,0.0,0.0,8.0
Lena Headey,0.0,5.0,3.0,0.0,0.0,8.0
Maggie Grace,0.0,4.0,3.0,1.0,0.0,8.0
Nick Frost,0.0,4.0,2.0,1.0,1.0,8.0
Sienna Miller,0.0,4.0,1.0,0.0,3.0,8.0
Kate McKinnon,0.0,3.0,1.0,1.0,3.0,8.0
Jon Hamm,0.0,3.0,0.0,5.0,0.0,8.0
Judi Dench,0.0,3.0,0.0,4.0,1.0,8.0
Maya Rudolph,0.0,3.0,0.0,3.0,2.0,8.0
Peter Sarsgaard,0.0,2.0,6.0,0.0,0.0,8.0
Tom Wilkinson,0.0,2.0,3.0,1.0,2.0,8.0
Will Patton,0.0,2.0,2.0,3.0,1.0,8.0
Tim Robbins,0.0,2.0,2.0,0.0,4.0,8.0
Matthew Goode,0.0,2.0,1.0,4.0,1.0,8.0
Andy García,0.0,1.0,3.0,2.0,2.0,8.0
Stanley Tucci,0.0,1.0,2.0,4.0,1.0,8.0
Alfre Woodard,0.0,1.0,1.0,3.0,3.0,8.0
Terrence Howard,0.0,1.0,1.0,2.0,4.0,8.0
Chris Cooper,0.0,0.0,5.0,0.0,3.0,8.0
Sam Elliott,0.0,0.0,4.0,2.0,2.0,8.0
Olivia Wilde,0.0,0.0,3.0,3.0,2.0,8.0
Brian Cox,0.0,0.0,2.0,3.0,3.0,8.0
Jada Pinkett Smith,0.0,0.0,2.0,3.0,3.0,8.0
John Ortiz,0.0,0.0,2.0,2.0,4.0,8.0
Jon Bernthal,0.0,0.0,2.0,2.0,4.0,8.0
Toby Jones,0.0,0.0,2.0,2.0,4.0,8.0
Luis Guzmán,0.0,0.0,0.0,4.0,4.0,8.0
David Koechner,0.0,0.0,0.0,3.0,5.0,8.0
Brendan Fraser,7.0,0.0,0.0,0.0,0.0,7.0
Tobin Bell,6.0,1.0,0.0,0.0,0.0,7.0
Hayden Christensen,5.0,2.0,0.0,0.0,0.0,7.0
Andrew Garfield,5.0,1.0,0.0,1.0,0.0,7.0
Dakota Johnson,5.0,0.0,1.0,1.0,0.0,7.0
Milla Jovovich,4.0,2.0,0.0,0.0,1.0,7.0
Jim Caviezel,4.0,1.0,1.0,1.0,0.0,7.0
Logan Lerman,4.0,1.0,1.0,0.0,1.0,7.0
Jay Baruchel,4.0,1.0,0.0,2.0,0.0,7.0
Jamie Lee Curtis,4.0,1.0,0.0,1.0,1.0,7.0
Tobey Maguire,4.0,1.0,0.0,1.0,1.0,7.0
Aaron Taylor-Johnson,4.0,0.0,2.0,1.0,0.0,7.0
Emile Hirsch,4.0,0.0,2.0,1.0,0.0,7.0
Jeffrey Dean Morgan,4.0,0.0,2.0,1.0,0.0,7.0
Mandy Moore,4.0,0.0,0.0,1.0,2.0,7.0
Ashton Kutcher,3.0,4.0,0.0,0.0,0.0,7.0
Melissa McCarthy,3.0,4.0,0.0,0.0,0.0,7.0
Michael B. Jordan,3.0,2.0,2.0,0.0,0.0,7.0
Dane DeHaan,3.0,2.0,0.0,2.0,0.0,7.0
Luke Wilson,3.0,2.0,0.0,0.0,2.0,7.0
Sharlto Copley,3.0,1.0,2.0,1.0,0.0,7.0
Michael Ealy,3.0,1.0,1.0,2.0,0.0,7.0
Freddie Highmore,3.0,1.0,1.0,1.0,1.0,7.0
Taylor Kitsch,3.0,1.0,1.0,1.0,1.0,7.0
Ben Whishaw,3.0,1.0,0.0,1.0,2.0,7.0
Katie Holmes,3.0,0.0,2.0,0.0,2.0,7.0
Felicity Jones,2.0,4.0,1.0,0.0,0.0,7.0
Heath Ledger,2.0,4.0,1.0,0.0,0.0,7.0
Ioan Gruffudd,2.0,4.0,0.0,1.0,0.0,7.0
Meryl Streep,2.0,3.0,1.0,1.0,0.0,7.0
Kaya Scodelario,2.0,3.0,1.0,0.0,1.0,7.0
Frank Grillo,2.0,1.0,3.0,0.0,1.0,7.0
Kiefer Sutherland,2.0,1.0,2.0,1.0,1.0,7.0
Tilda Swinton,2.0,1.0,1.0,2.0,1.0,7.0
Joel Kinnaman,2.0,1.0,0.0,3.0,1.0,7.0
Domhnall Gleeson,2.0,0.0,4.0,0.0,1.0,7.0
Gal Gadot,2.0,0.0,2.0,2.0,1.0,7.0
Hank Azaria,2.0,0.0,0.0,4.0,1.0,7.0
Karen Gillan,2.0,0.0,0.0,4.0,1.0,7.0
Frances McDormand,2.0,0.0,0.0,2.0,3.0,7.0
Laura Linney,1.0,5.0,1.0,0.0,0.0,7.0
Elle Fanning,1.0,4.0,1.0,1.0,0.0,7.0
Gwyneth Paltrow,1.0,4.0,0.0,2.0,0.0,7.0
Marion Cotillard,1.0,3.0,2.0,1.0,0.0,7.0
Michael Cera,1.0,3.0,1.0,1.0,1.0,7.0
Malin Åkerman,1.0,2.0,3.0,1.0,0.0,7.0
Toni Collette,1.0,2.0,1.0,2.0,1.0,7.0
Octavia Spencer,1.0,2.0,1.0,1.0,2.0,7.0
Zhang Ziyi,1.0,1.0,2.0,1.0,2.0,7.0
Giovanni Ribisi,1.0,1.0,1.0,2.0,2.0,7.0
Ken Watanabe,1.0,1.0,1.0,2.0,2.0,7.0
Sam Neill,1.0,1.0,1.0,2.0,2.0,7.0
Dave Franco,1.0,1.0,0.0,2.0,3.0,7.0
Kyle Chandler,1.0,0.0,2.0,3.0,1.0,7.0
Russell Brand,1.0,0.0,1.0,3.0,2.0,7.0
Eva Mendes,0.0,5.0,1.0,1.0,0.0,7.0
Catherine Zeta-Jones,0.0,4.0,2.0,1.0,0.0,7.0
Armie Hammer,0.0,4.0,1.0,1.0,1.0,7.0
Philip Seymour Hoffman,0.0,3.0,4.0,0.0,0.0,7.0
Vanessa Hudgens,0.0,3.0,1.0,3.0,0.0,7.0
David Cross,0.0,3.0,1.0,2.0,1.0,7.0
Ray Liotta,0.0,3.0,1.0,1.0,2.0,7.0
Amber Heard,0.0,3.0,0.0,3.0,1.0,7.0
Forest Whitaker,0.0,2.0,5.0,0.0,0.0,7.0
Carrie-Anne Moss,0.0,2.0,4.0,0.0,1.0,7.0
Bridget Moynahan,0.0,2.0,2.0,1.0,2.0,7.0
Bruce Greenwood,0.0,2.0,2.0,1.0,2.0,7.0
Demián Bichir,0.0,2.0,2.0,1.0,2.0,7.0
Sebastian Stan,0.0,2.0,1.0,2.0,2.0,7.0
Famke Janssen,0.0,1.0,4.0,1.0,1.0,7.0
Justin Theroux,0.0,1.0,4.0,1.0,1.0,7.0
Lucy Liu,0.0,1.0,4.0,1.0,1.0,7.0
Hugo Weaving,0.0,1.0,3.0,3.0,0.0,7.0
Danny McBride,0.0,1.0,3.0,2.0,1.0,7.0
Ciarán Hinds,0.0,1.0,3.0,1.0,2.0,7.0
Dustin Hoffman,0.0,0.0,5.0,2.0,0.0,7.0
Ben Mendelsohn,0.0,0.0,5.0,1.0,1.0,7.0
Danny Glover,0.0,0.0,4.0,1.0,2.0,7.0
John Lithgow,0.0,0.0,3.0,4.0,0.0,7.0
Kathryn Hahn,0.0,0.0,3.0,1.0,3.0,7.0
Jeffrey Wright,0.0,0.0,2.0,5.0,0.0,7.0
Peter Stormare,0.0,0.0,2.0,3.0,2.0,7.0
Danny Huston,0.0,0.0,2.0,2.0,3.0,7.0
David Thewlis,0.0,0.0,0.0,4.0,3.0,7.0
Mike Myers,6.0,0.0,0.0,0.0,0.0,6.0
Paul Walker,5.0,1.0,0.0,0.0,0.0,6.0
